EV Maker,Place,State
Tata Motors,Pune,Maharashtra
Mahindra Electric,Bengaluru,Karnataka
Ather Energy,Bengaluru,Karnataka
Hero Electric,New Delhi,Delhi
Ola Electric,Krishnagiri,Tamil Nadu
Ashok Leyland,Chennai,Tamil Nadu
TVS Motor Company,Hosur,Tamil Nadu
Bajaj Auto,Pune,Maharashtra
MG Motor India,Halol,Gujarat
Hyundai Motor India,Chennai,Tamil Nadu
Revolt Motors,Gurgaon,Haryana
Ampere Vehicles,Coimbatore,Tamil Nadu
Okinawa Autotech,Bhiwadi,Rajasthan
Kinetic Green Energy,Pune,Maharashtra
BYD India,Sriperumbudur,Tamil Nadu
JBM Auto,Faridabad,Haryana
Piaggio Vehicles,Baramati,Maharashtra
Hero MotoCorp,Dharuhera,Haryana
Etrio Automobiles,Hyderabad,Telangana
Triton Electric,Bhuj,Gujarat
Simple Energy,Bengaluru,Karnataka
Minda Industries,Pune,Maharashtra
Exide Industries,Kolkata,West Bengal
Greaves Cotton,Mumbai,Maharashtra
Maruti Suzuki India,Manesar,Haryana
Renault India,Chennai,Tamil Nadu
Citroën India,Thiruvallur,Tamil Nadu
Audi India,Aurangabad,Maharashtra
Mercedes-Benz India,Chakan,Maharashtra
Kia Motors India,Anantapur,Andhra Pradesh
Volvo Eicher,Pithampur,Madhya Pradesh
JSW Energy,Mumbai,Maharashtra
Olectra Greentech,Hyderabad,Telangana
Force Motors,Pune,Maharashtra
TVS Electronics,Chennai,Tamil Nadu
Royal Enfield,Chennai,Tamil Nadu
Bharat Forge,Pune,Maharashtra
Hindustan Motors,Uttarpara,West Bengal
Atul Auto,Rajkot,Gujarat
SML Isuzu,Ropar,Punjab
Mahindra Reva,Bengaluru,Karnataka
Ajanta Manufacturing,Morbi,Gujarat
Tata Power,Mumbai,Maharashtra
Ashok Leyland (EV Bus),Alwar,Rajasthan
HOP Electric Mobility,Jaipur,Rajasthan
Omega Seiki Mobility,Faridabad,Haryana
Bajaj Auto (EV),Akurdi,Maharashtra
Tata AutoComp Systems,Pune,Maharashtra
Bosch India,Bengaluru,Karnataka
Lohia Auto Industries,Kashipur,Uttarakhand
Saera Electric Auto,Bhiwadi,Rajasthan
Jezza Motors,Kolkata,West Bengal
Altigreen Propulsion Labs,Bengaluru,Karnataka
Terra Motors India,Gurugram,Haryana
Gayam Motor Works,Hyderabad,Telangana
Kinetic Green (3-Wheeler),Ahmednagar,Maharashtra
Greaves Electric Mobility,Coimbatore,Tamil Nadu
YC Electric Vehicle,Delhi,Delhi
Dilli Electric Auto Pvt Ltd,New Delhi,Delhi
Electrotherm India,Ahmedabad,Gujarat
Lohia Auto Industries,Kashipur,Uttarakhand
Euler Motors,New Delhi,Delhi